Net Asset Value,Repurchase Price,Sale Price,NAV date
50.7457,,,25-Nov-21
48.9821,,,26-Nov-21
48.7776,,,29-Nov-21
48.6618,,,30-Nov-21
49.2241,,,01-Dec-21
49.7201,,,02-Dec-21
49.3816,,,03-Dec-21
48.6078,,,06-Dec-21
49.4042,,,07-Dec-21
50.2844,,,08-Dec-21
50.4473,,,09-Dec-21
50.4491,,,10-Dec-21
50.187,,,13-Dec-21
50.0245,,,14-Dec-21
49.7568,,,15-Dec-21
49.6299,,,16-Dec-21
48.77,,,17-Dec-21
47.5322,,,20-Dec-21
48.0336,,,21-Dec-21
48.6141,,,22-Dec-21
48.8375,,,23-Dec-21
48.6086,,,24-Dec-21
48.7171,,,27-Dec-21
49.2094,,,28-Dec-21
49.1086,,,29-Dec-21
49.0768,,,30-Dec-21
49.5461,,,31-Dec-21
50.2717,,,03-Jan-22
50.7476,,,04-Jan-22
50.9615,,,05-Jan-22
50.6694,,,06-Jan-22
50.7185,,,07-Jan-22
51.3199,,,10-Jan-22
51.5372,,,11-Jan-22
52.1291,,,12-Jan-22
52.25,,,13-Jan-22
52.319,,,14-Jan-22
52.2508,,,17-Jan-22
51.6558,,,18-Jan-22
51.3755,,,19-Jan-22
51.0305,,,20-Jan-22
50.4887,,,21-Jan-22
49.0912,,,24-Jan-22
49.9318,,,25-Jan-22
49.6003,,,27-Jan-22
49.6674,,,28-Jan-22
50.5609,,,31-Jan-22
51.1395,,,01-Feb-22
51.7172,,,02-Feb-22
51.2948,,,03-Feb-22
51.068,,,04-Feb-22
50.3304,,,07-Feb-22
50.3329,,,08-Feb-22
50.8236,,,09-Feb-22
51.1674,,,10-Feb-22
50.4062,,,11-Feb-22
48.6269,,,14-Feb-22
50.0818,,,15-Feb-22
49.9719,,,16-Feb-22
49.905,,,17-Feb-22
49.8084,,,18-Feb-22
49.6113,,,21-Feb-22
49.0945,,,22-Feb-22
49.0273,,,23-Feb-22
46.624,,,24-Feb-22
47.9284,,,25-Feb-22
48.1112,,,28-Feb-22
47.5292,,,02-Mar-22
47.3058,,,03-Mar-22
46.6274,,,04-Mar-22
45.6059,,,07-Mar-22
46.2395,,,08-Mar-22
47.2121,,,09-Mar-22
47.7691,,,10-Mar-22
47.9051,,,11-Mar-22
48.5932,,,14-Mar-22
48.1403,,,15-Mar-22
49.0415,,,16-Mar-22
49.7349,,,17-Mar-22
49.2308,,,21-Mar-22
49.7945,,,22-Mar-22
49.7697,,,23-Mar-22
49.7476,,,24-Mar-22
49.6501,,,25-Mar-22
49.8969,,,28-Mar-22
50.2834,,,29-Mar-22
50.7411,,,30-Mar-22
50.6816,,,31-Mar-22
51.3768,,,01-Apr-22
52.4008,,,04-Apr-22
52.1701,,,05-Apr-22
52.0616,,,06-Apr-22
51.7203,,,07-Apr-22
52.1425,,,08-Apr-22
51.8143,,,11-Apr-22
51.3187,,,12-Apr-22
51.2788,,,13-Apr-22
50.4185,,,18-Apr-22
49.6787,,,19-Apr-22
49.8701,,,20-Apr-22
50.5151,,,21-Apr-22
49.9908,,,22-Apr-22
49.2375,,,25-Apr-22
49.8888,,,26-Apr-22
49.5337,,,27-Apr-22
50.1706,,,28-Apr-22
49.7875,,,29-Apr-22
49.7345,,,02-May-22
48.5674,,,04-May-22
48.7034,,,05-May-22
48.0458,,,06-May-22
47.6682,,,09-May-22
47.3866,,,10-May-22
47.1498,,,11-May-22
46.2466,,,12-May-22
46.1254,,,13-May-22
46.3704,,,16-May-22
47.5459,,,17-May-22
47.2916,,,18-May-22
46.1048,,,19-May-22
47.3256,,,20-May-22
47.1593,,,23-May-22
46.9764,,,24-May-22
46.6019,,,25-May-22
47.1177,,,26-May-22
47.7408,,,27-May-22
48.7667,,,30-May-22
48.7188,,,31-May-22
48.7021,,,01-Jun-22
48.8124,,,02-Jun-22
48.5318,,,03-Jun-22
48.4,,,06-Jun-22
48.048,,,07-Jun-22
47.9933,,,08-Jun-22
48.1612,,,09-Jun-22
47.5206,,,10-Jun-22
46.2485,,,13-Jun-22
46.1984,,,14-Jun-22
46.2042,,,15-Jun-22
45.1605,,,16-Jun-22
44.9799,,,17-Jun-22
44.9401,,,20-Jun-22
46.0552,,,21-Jun-22
45.4036,,,22-Jun-22
45.943,,,23-Jun-22
46.375,,,24-Jun-22
46.8307,,,27-Jun-22
47.0197,,,28-Jun-22
46.8983,,,29-Jun-22
46.756,,,30-Jun-22
46.9814,,,01-Jul-22
47.4633,,,04-Jul-22
47.4335,,,05-Jul-22
48.0054,,,06-Jul-22
48.5852,,,07-Jul-22
48.8358,,,08-Jul-22
48.8502,,,11-Jul-22
48.3844,,,12-Jul-22
48.1845,,,13-Jul-22
47.9766,,,14-Jul-22
48.2492,,,15-Jul-22
48.8958,,,18-Jul-22
49.1009,,,19-Jul-22
49.6198,,,20-Jul-22
50.0604,,,21-Jul-22
50.3059,,,22-Jul-22
50.2603,,,25-Jul-22
49.8164,,,26-Jul-22
50.3197,,,27-Jul-22
51.0749,,,28-Jul-22
51.5557,,,29-Jul-22
52.1271,,,01-Aug-22
52.1764,,,02-Aug-22
52.1686,,,03-Aug-22
52.1046,,,04-Aug-22
52.1251,,,05-Aug-22
52.5098,,,08-Aug-22
52.5275,,,10-Aug-22
53.0905,,,11-Aug-22
53.2077,,,12-Aug-22
53.7278,,,16-Aug-22
54.0783,,,17-Aug-22
54.1054,,,18-Aug-22
53.4089,,,19-Aug-22
52.663,,,22-Aug-22
52.9997,,,23-Aug-22
53.1801,,,24-Aug-22
52.996,,,25-Aug-22
53.1456,,,26-Aug-22
52.4021,,,29-Aug-22
53.6481,,,30-Aug-22
53.3969,,,01-Sep-22
53.6075,,,02-Sep-22
54.0435,,,05-Sep-22
53.9334,,,06-Sep-22
53.9402,,,07-Sep-22
54.3312,,,08-Sep-22
54.4064,,,09-Sep-22
54.6793,,,12-Sep-22
55.1273,,,13-Sep-22
55.081,,,14-Sep-22
54.9451,,,15-Sep-22
